,imagename,subject_acc,subject_rt,subject_zscore_rt,subject,rr_auc,model_acc,final_prob,prob_auc,final_ent
0,30_truck_10_n03417042_14861.png,True,0.773930072784424,-1.0260330745908761,subject-01,2.5451881451881446,1,0.9987062215805054,1.4392768125981088,0.0125487679615616
1,0_keyboard_10_n03085013_25476.png,True,0.771803140640259,-1.0364475923985295,subject-01,3.1277888777888774,1,0.999810755252838,2.2943315217271443,0.0020271367393434
2,0_elephant_10_n02504013_3087.png,True,0.993726968765259,0.05020186479781571,subject-01,4.668686868686868,1,0.9833021759986876,1.8921956671401854,0.086387999355793
3,30_cat_10_n02123394_4633.png,True,0.929347991943359,-0.26502963066363494,subject-01,5.447222222222222,1,0.9674014449119568,2.2326745018362995,0.175519049167633
4,120_knife_10_n03041632_48151.png,False,0.94724702835083,-0.1773870446428108,subject-01,1.8127344877344875,0,0.0014918373199179,0.5831024498911568,0.1602076441049575
5,60_bicycle_10_n02835271_1075.png,True,1.08322501182556,0.48842880389348053,subject-01,2.449242424242424,1,0.9966449737548828,1.7670017918571825,0.0261777099221944
6,180_bear_10_n02134084_10289.png,True,1.17887091636658,0.9567587310160951,subject-01,1.4706349206349203,0,0.0632499754428863,0.7124322690069671,2.1577131748199463
7,0_keyboard_10_n03085013_21967.png,True,0.76678204536438,-1.0610333725833947,subject-01,3.767099567099567,1,0.9815516471862792,1.728612483479082,0.102909579873085
8,150_oven_10_n04111531_5737.png,False,1.05862712860107,0.36798533155478386,subject-01,0.0714285714285713,0,0.0188753213733434,0.15533532114932252,1.6373717784881592
9,60_elephant_10_n02504458_8141.png,False,1.2964301109314,1.532387026731811,subject-01,3.9,1,0.938857078552246,1.681878896430134,0.3489086031913757
10,90_elephant_10_n02504458_3153.png,True,1.07200479507446,0.43348904124960325,subject-01,5.408008658008658,1,0.9999868273735046,2.1581180198118086,0.0001865265658125
11,60_bear_10_n02134418_5807.png,True,1.05819487571716,0.36586880641351865,subject-01,1.3202380952380945,0,0.0267448518425226,0.6582055743783707,1.682063102722168
12,0_boat_10_n04273569_15322.png,True,0.707764863967896,-1.3500108504485722,subject-01,2.81025641025641,1,0.8754419684410095,1.8230311870574947,0.4237934052944183
13,0_knife_10_n03041632_42526.png,True,1.03568005561829,0.25562504734529434,subject-01,2.043362193362193,1,0.6011349558830261,1.0560679817572232,1.1137081384658811
14,30_bicycle_10_n02835271_5886.png,True,0.973317861557007,-0.049731276483513845,subject-01,3.086111111111111,1,0.9973170161247252,1.874356639571487,0.0232409909367561
15,180_dog_10_n02110063_869.png,False,1.06314992904663,0.39013121237658954,subject-01,0.5588383838383837,0,0.0154093224555253,0.39617145713418656,1.589331865310669
16,180_bicycle_10_n03792782_3334.png,False,1.0991108417511,0.5662137295211079,subject-01,1.1686868686868686,0,0.0203941538929939,0.7502357913181181,2.159217596054077
17,0_airplane_10_n02690373_7355.png,True,0.960758924484253,-0.11122607976071866,subject-01,6.416666666666666,1,0.9999746680259703,3.3081800863146777,0.0003410507633816
18,120_bird_10_n01798484_2289.png,False,1.06473898887634,0.39791203977126854,subject-01,0.540151515151515,0,0.0138793559744954,0.4685620227828617,1.7530840635299685
19,60_knife_10_n03041632_87380.png,False,1.4905960559845,2.4831200804132965,subject-01,1.8123737373737372,0,0.0567214153707027,0.6359142996370788,0.7236400246620178
20,0_bird_10_n02027492_15639.png,True,0.98433780670166,0.0042278567512729,subject-01,2.6865079365079363,1,0.8490649461746216,1.409828014671802,0.6156892776489258
21,0_bird_10_n02006656_7153.png,False,1.42411303520203,2.157586139076665,subject-01,3.540079365079365,1,0.9988029599189758,1.6445833295583716,0.0117593202739954
