term,npar,AIC,BIC,logLik,deviance,statistic,df,p.value,iv,dv,data_subset,file_prefix,p_fdr
baseline_fit,56,-581.722024927842,-249.249045514976,346.861012463921,-693.722024927842,,,,baseline,rt,filteredCorrect,vit_small_patch16_224_contrast,
critical_fit,57,-615.286074238268,-276.876077335887,364.643037119134,-729.286074238268,35.5640493104261,1.0,2.46800586336671e-09,auc_entropy,rt,filteredCorrect,vit_small_patch16_224_contrast,4.93601172673342e-09
critical_fit,57,-590.494495096798,-252.084498194417,352.247247548399,-704.494495096798,10.7724701689565,1.0,0.0010302092808777,layer_biggest_change_entropy,rt,filteredCorrect,vit_small_patch16_224_contrast,0.0010302092808777
critical_fit,57,-640.552183951234,-302.142187048853,377.276091975617,-754.552183951234,60.8301590233923,1.0,6.221741845190061e-15,auc_rank_correct,rt,filteredCorrect,vit_small_patch16_224_contrast,3.73304510711403e-14
critical_fit,57,-616.774078669959,-278.364081767578,365.38703933498,-730.774078669959,37.0520537421173,1.0,1.1501737368207302e-09,layer_biggest_change_rank_correct,rt,filteredCorrect,vit_small_patch16_224_contrast,3.4505212104622e-09
critical_fit,57,-613.035454489941,-274.62545758756,363.517727244971,-727.035454489941,33.3134295620996,1.0,7.84390815350645e-09,auc_logprob_correct,rt,filteredCorrect,vit_small_patch16_224_contrast,1.17658622302597e-08
critical_fit,57,-591.712401158105,-253.302404255724,352.856200579052,-705.712401158105,11.9903762302628,1.0,0.0005347599256979,layer_biggest_change_logprob_correct,rt,filteredCorrect,vit_small_patch16_224_contrast,0.0006417119108375
