"term","npar","AIC","BIC","logLik","deviance","statistic","df","p.value","iv","dv","data_subset","file_prefix","p_fdr"
"baseline_fit",13,1235.23167813917,1299.41676119508,-604.615839069587,1209.23167813917,NA,NA,NA,"baseline","rt","filteredCorrect","Llama-2-70b-hf",NA
"critical_fit",14,1233.20010169264,1302.32249882977,-602.600050846319,1205.20010169264,4.03157644653538,1,0.0446561944437051,"auc_entropy","rt","filteredCorrect","Llama-2-70b-hf",0.220175196173985
"critical_fit",14,1236.35490740663,1305.47730454376,-604.177453703313,1208.35490740663,0.876770732548266,1,0.349087677765778,"layer_biggest_change_entropy","rt","filteredCorrect","Llama-2-70b-hf",0.598436019027048
"critical_fit",14,1233.91496141657,1303.0373585537,-602.957480708284,1205.91496141657,3.31671672260495,1,0.0685786597999622,"auc_rank_correct","rt","filteredCorrect","Llama-2-70b-hf",0.220175196173985
"critical_fit",14,1234.72428147494,1303.84667861207,-603.36214073747,1206.72428147494,2.50739666423374,1,0.113312982330836,"layer_biggest_change_rank_correct","rt","filteredCorrect","Llama-2-70b-hf",0.226625964661672
"critical_fit",14,1236.71221659752,1305.83461373465,-604.35610829876,1208.71221659752,0.519461541652845,1,0.471071463396645,"auc_logprob_correct","rt","filteredCorrect","Llama-2-70b-hf",0.631776275543577
"critical_fit",14,1234.59923175506,1303.7216288922,-603.299615877532,1206.59923175506,2.63244638410947,1,0.104700280157624,"layer_biggest_change_logprob_correct","rt","filteredCorrect","Llama-2-70b-hf",0.226625964661672
"critical_fit",14,1233.38905147213,1302.51144860926,-602.694525736065,1205.38905147213,3.84262666704308,1,0.0499651882620028,"auc_logprobdiff_pos","rt","filteredCorrect","Llama-2-70b-hf",0.220175196173985
"critical_fit",14,1237.15450523964,1306.27690237678,-604.577252619822,1209.15450523964,0.077172899529387,1,0.781165808928804,"auc_logprobdiff_neg","rt","filteredCorrect","Llama-2-70b-hf",0.817800403174574
"critical_fit",14,1234.02619282629,1303.14858996342,-603.013096413145,1206.02619282629,3.20548531288364,1,0.073391732057995,"layer_biggest_change_logprobdiff","rt","filteredCorrect","Llama-2-70b-hf",0.220175196173985
"critical_fit",14,1236.71865296735,1305.84105010448,-604.359326483675,1208.71865296735,0.513025171824438,1,0.473832206657683,"auc_boost_pos","rt","filteredCorrect","Llama-2-70b-hf",0.631776275543577
"critical_fit",14,1237.158322316,1306.28071945313,-604.579161158,1209.158322316,0.0733558231736424,1,0.786511938841716,"auc_boost_neg","rt","filteredCorrect","Llama-2-70b-hf",0.817800403174574
"critical_fit",14,1237.17860550882,1306.30100264595,-604.589302754411,1209.17860550882,0.0530726303516076,1,0.817800403174574,"layer_argmax_boost","rt","filteredCorrect","Llama-2-70b-hf",0.817800403174574
