"term","npar","AIC","BIC","logLik","deviance","statistic","df","p.value","iv","dv","data_subset","file_prefix","p_fdr"
"baseline_fit",17,2281.1341548415,2377.79110688249,-1123.56707742075,2247.1341548415,NA,NA,NA,"baseline","response_correct_gpt4","all_trials","Llama-2-7b-hf",NA
"critical_fit",18,2282.94470470643,2385.28735980865,-1123.47235235321,2246.94470470643,0.189450135075276,1,0.663374659808984,"auc_entropy","response_correct_gpt4","all_trials","Llama-2-7b-hf",0.721841975991261
"critical_fit",18,2263.08540578229,2365.42806088452,-1113.54270289115,2227.08540578229,20.0487490592091,1,7.54928985737034e-06,"layer_biggest_change_entropy","response_correct_gpt4","all_trials","Llama-2-7b-hf",9.05914782884441e-05
"critical_fit",18,2269.54749052697,2371.89014562919,-1116.77374526348,2233.54749052697,13.5866643145382,1,0.000227798059600562,"auc_rank_correct","response_correct_gpt4","all_trials","Llama-2-7b-hf",0.000911192238402247
"critical_fit",18,2270.3900914044,2372.73274650663,-1117.1950457022,2234.3900914044,12.7440634370992,1,0.000357140932819076,"layer_biggest_change_rank_correct","response_correct_gpt4","all_trials","Llama-2-7b-hf",0.00107142279845723
"critical_fit",18,2272.76977215419,2375.11242725641,-1118.38488607709,2236.76977215419,10.3643826873144,1,0.00128469850288088,"auc_logprob_correct","response_correct_gpt4","all_trials","Llama-2-7b-hf",0.00288485651583022
"critical_fit",18,2266.80230633702,2369.14496143924,-1115.40115316851,2230.80230633702,16.3318485044824,1,5.31629188286494e-05,"layer_biggest_change_logprob_correct","response_correct_gpt4","all_trials","Llama-2-7b-hf",0.000318977512971897
"critical_fit",18,2281.55148511649,2383.89414021871,-1122.77574255824,2245.55148511649,1.58266972501451,1,0.208376559907041,"auc_logprobdiff_pos","response_correct_gpt4","all_trials","Llama-2-7b-hf",0.250051871888449
"critical_fit",18,2274.71235082066,2377.05500592288,-1119.35617541033,2238.71235082066,8.42180402084659,1,0.00370747752001864,"auc_logprobdiff_neg","response_correct_gpt4","all_trials","Llama-2-7b-hf",0.00635567574860339
"critical_fit",18,2278.28810439961,2380.63075950183,-1121.1440521998,2242.28810439961,4.84605044189766,1,0.0277095106061484,"layer_biggest_change_logprobdiff","response_correct_gpt4","all_trials","Llama-2-7b-hf",0.0369460141415312
"critical_fit",18,2283.00742018281,2385.35007528503,-1123.5037100914,2247.00742018281,0.126734658694659,1,0.721841975991261,"auc_boost_pos","response_correct_gpt4","all_trials","Llama-2-7b-hf",0.721841975991261
"critical_fit",18,2272.9834084033,2375.32606350552,-1118.49170420165,2236.9834084033,10.150746438203,1,0.00144242825791511,"auc_boost_neg","response_correct_gpt4","all_trials","Llama-2-7b-hf",0.00288485651583022
"critical_fit",18,2277.77046717047,2380.1131222727,-1120.88523358524,2241.77046717047,5.36368767102977,1,0.0205602529829814,"layer_argmax_boost","response_correct_gpt4","all_trials","Llama-2-7b-hf",0.0308403794744721
