"term","npar","AIC","BIC","logLik","deviance","statistic","df","p.value","iv","dv","data_subset","file_prefix","p_fdr"
"baseline_fit",9,2094.23893267169,2143.27917759459,-1038.11946633584,2076.23893267169,NA,NA,NA,"baseline","response_correct","all_trials","Llama-2-7b-hf",NA
"critical_fit",10,2095.22305751459,2149.71221854003,-1037.61152875729,2075.22305751459,1.01587515710116,1,0.313499435596931,"auc_entropy","response_correct","all_trials","Llama-2-7b-hf",0.313499435596931
"critical_fit",10,2094.7569707654,2149.24613179084,-1037.3784853827,2074.7569707654,1.48196190628823,1,0.223467815982248,"layer_biggest_change_entropy","response_correct","all_trials","Llama-2-7b-hf",0.243783071980635
"critical_fit",10,2084.39318324968,2138.88234427512,-1032.19659162484,2064.39318324968,11.845749422007,1,0.000577931120777924,"auc_rank_correct","response_correct","all_trials","Llama-2-7b-hf",0.00133251219112715
"critical_fit",10,2088.05981203018,2142.54897305563,-1034.02990601509,2068.05981203018,8.1791206415046,1,0.00423752973858141,"layer_biggest_change_rank_correct","response_correct","all_trials","Llama-2-7b-hf",0.00635629460787211
"critical_fit",10,2093.43640674499,2147.92556777044,-1036.7182033725,2073.43640674499,2.80252592669376,1,0.0941159295612016,"auc_logprob_correct","response_correct","all_trials","Llama-2-7b-hf",0.112939115473442
"critical_fit",10,2075.76710250343,2130.25626352887,-1027.88355125171,2055.76710250343,20.4718301682628,1,6.05153702487035e-06,"layer_biggest_change_logprob_correct","response_correct","all_trials","Llama-2-7b-hf",2.42061480994814e-05
"critical_fit",10,2093.03834245758,2147.52750348302,-1036.51917122879,2073.03834245758,3.20059021411043,1,0.0736117002526928,"auc_logprobdiff_pos","response_correct","all_trials","Llama-2-7b-hf",0.0981489336702571
"critical_fit",10,2084.65783522014,2139.14699624559,-1032.32891761007,2064.65783522014,11.5810974515443,1,0.000666256095563573,"auc_logprobdiff_neg","response_correct","all_trials","Llama-2-7b-hf",0.00133251219112715
"critical_fit",10,2070.89756916859,2125.38673019403,-1025.44878458429,2050.89756916859,25.3413635031011,1,4.80297999670376e-07,"layer_biggest_change_logprobdiff","response_correct","all_trials","Llama-2-7b-hf",5.76357599604451e-06
"critical_fit",10,2085.02991953883,2139.51908056427,-1032.51495976941,2065.02991953883,11.2090131328609,1,0.000814009971823007,"auc_boost_pos","response_correct","all_trials","Llama-2-7b-hf",0.0013954456659823
"critical_fit",10,2078.75446397772,2133.24362500316,-1029.37723198886,2058.75446397772,17.4844686939687,1,2.89664394648007e-05,"auc_boost_neg","response_correct","all_trials","Llama-2-7b-hf",8.6899318394402e-05
"critical_fit",10,2073.06226424971,2127.55142527515,-1026.53113212486,2053.06226424971,23.1766684219756,1,1.47779458401896e-06,"layer_argmax_boost","response_correct","all_trials","Llama-2-7b-hf",8.86676750411373e-06
