"term","npar","AIC","BIC","logLik","deviance","statistic","df","p.value","iv","dv","data_subset","file_prefix","p_fdr"
"baseline_fit",33,4615.56433444845,4798.96094020173,-2274.78216722422,4549.56433444845,NA,NA,NA,"baseline","xpos_flips","filteredCorrect","Llama-2-13b-hf",NA
"critical_fit",34,4610.95275553428,4799.90683418918,-2271.47637776714,4542.95275553428,6.61157891416406,1,0.0101317789140226,"auc_entropy","xpos_flips","filteredCorrect","Llama-2-13b-hf",0.0173687638526102
"critical_fit",34,4616.6713247019,4805.6254033568,-2274.33566235095,4548.6713247019,0.893009746542702,1,0.344662996357104,"layer_biggest_change_entropy","xpos_flips","filteredCorrect","Llama-2-13b-hf",0.375995996025931
"critical_fit",34,4608.46665343658,4797.42073209148,-2270.23332671829,4540.46665343658,9.09768101187001,1,0.00255933780288556,"auc_rank_correct","xpos_flips","filteredCorrect","Llama-2-13b-hf",0.00767801340865668
"critical_fit",34,4610.82608854082,4799.78016719572,-2271.41304427041,4542.82608854082,6.73824590762251,1,0.00943673675987519,"layer_biggest_change_rank_correct","xpos_flips","filteredCorrect","Llama-2-13b-hf",0.0173687638526102
"critical_fit",34,4609.77596603383,4798.73004468873,-2270.88798301692,4541.77596603383,7.78836841461361,1,0.00525836606381631,"auc_logprob_correct","xpos_flips","filteredCorrect","Llama-2-13b-hf",0.0126200785531591
"critical_fit",34,4611.53440776882,4800.48848642372,-2271.76720388441,4543.53440776882,6.0299266796219,1,0.0140653174750499,"layer_biggest_change_logprob_correct","xpos_flips","filteredCorrect","Llama-2-13b-hf",0.0210979762125748
"critical_fit",34,4604.12675458477,4793.08083323967,-2268.06337729238,4536.12675458477,13.4375798636756,1,0.000246633582552689,"auc_logprobdiff_pos","xpos_flips","filteredCorrect","Llama-2-13b-hf",0.00177011148113946
"critical_fit",34,4611.96010015319,4800.91417880809,-2271.98005007659,4543.96010015319,5.60423429525872,1,0.0179171233490489,"auc_logprobdiff_neg","xpos_flips","filteredCorrect","Llama-2-13b-hf",0.0238894977987318
"critical_fit",34,4612.48453051806,4801.43860917296,-2272.24226525903,4544.48453051806,5.07980393038542,1,0.0242061071679124,"layer_biggest_change_logprobdiff","xpos_flips","filteredCorrect","Llama-2-13b-hf",0.0290473286014948
"critical_fit",34,4604.4625751085,4793.4166537634,-2268.23128755425,4536.4625751085,13.1017593399438,1,0.00029501858018991,"auc_boost_pos","xpos_flips","filteredCorrect","Llama-2-13b-hf",0.00177011148113946
"critical_fit",34,4617.10512307329,4806.05920172819,-2274.55256153665,4549.10512307329,0.459211375154155,1,0.497992768810602,"auc_boost_neg","xpos_flips","filteredCorrect","Llama-2-13b-hf",0.497992768810602
"critical_fit",34,4605.6122523741,4794.566331029,-2268.80612618705,4537.6122523741,11.9520820743455,1,0.000545863471668868,"layer_argmax_boost","xpos_flips","filteredCorrect","Llama-2-13b-hf",0.00218345388667547
