"term","npar","AIC","BIC","logLik","deviance","statistic","df","p.value","iv","baseline_type","dv","data_subset","model","file_suffix"
"baseline_final_fit",17,2081.70769397447,2174.33926771772,-1023.85384698723,2047.70769397447,NA,NA,NA,"baseline_final","baseline_final","response_correct","all_trials","Llama-3.1-8B",NA
"critical_fit",18,2083.63108954127,2181.71157938706,-1023.81554477063,2047.63108954127,0.076604433196735,1,0.781952833461392,"auc_entropy","baseline_final","response_correct","all_trials","Llama-3.1-8B",NA
"baseline_midpoint_fit",17,2075.7232706137,2168.35484435695,-1020.86163530685,2041.7232706137,NA,NA,NA,"baseline_midpoint","baseline_midpoint","response_correct","all_trials","Llama-3.1-8B",NA
"critical_fit",18,2073.1798481453,2171.26033799109,-1018.58992407265,2037.1798481453,4.5434224684002,1,0.0330454587264512,"auc_entropy","baseline_midpoint","response_correct","all_trials","Llama-3.1-8B",NA
"critical_fit",18,2083.70768451667,2181.78817436247,-1023.85384225834,2047.70768451667,9.45779106586997e-06,1,0.997546227839905,"layer_biggest_change_entropy","baseline_final","response_correct","all_trials","Llama-3.1-8B",NA
"critical_fit",18,2077.46876692283,2175.54925676862,-1020.73438346141,2041.46876692283,0.254503690872298,1,0.61392159211102,"layer_biggest_change_entropy","baseline_midpoint","response_correct","all_trials","Llama-3.1-8B",NA
"critical_fit",18,2080.04311630531,2178.1236061511,-1022.02155815265,2044.04311630531,3.66457766915801,1,0.0555807277833617,"auc_rank_correct","baseline_final","response_correct","all_trials","Llama-3.1-8B",NA
"critical_fit",18,2074.4802228228,2172.56071266859,-1019.2401114114,2038.4802228228,3.24304779090176,1,0.0717270916583629,"auc_rank_correct","baseline_midpoint","response_correct","all_trials","Llama-3.1-8B",NA
"critical_fit",18,2078.24136245772,2176.32185230352,-1021.12068122886,2042.24136245772,5.46633151674314,1,0.0193862772638257,"layer_biggest_change_rank_correct","baseline_final","response_correct","all_trials","Llama-3.1-8B",NA
"critical_fit",18,2072.59972705402,2170.68021689982,-1018.29986352701,2036.59972705402,5.12354355967477,1,0.0236033706700862,"layer_biggest_change_rank_correct","baseline_midpoint","response_correct","all_trials","Llama-3.1-8B",NA
"critical_fit",18,2081.48408100276,2179.56457084856,-1022.74204050138,2045.48408100276,2.22361297170232,1,0.135914667371429,"auc_logprob_correct","baseline_final","response_correct","all_trials","Llama-3.1-8B",NA
"critical_fit",18,2077.72492549078,2175.80541533657,-1020.86246274539,2041.72492549078,0,1,1,"auc_logprob_correct","baseline_midpoint","response_correct","all_trials","Llama-3.1-8B",NA
"critical_fit",18,2083.53418027995,2181.61467012574,-1023.76709013997,2047.53418027995,0.17351369451967,1,0.677007770617494,"layer_biggest_change_logprob_correct","baseline_final","response_correct","all_trials","Llama-3.1-8B",NA
"critical_fit",18,2077.67066643137,2175.75115627716,-1020.83533321568,2041.67066643137,0.0526041823304695,1,0.818592218695654,"layer_biggest_change_logprob_correct","baseline_midpoint","response_correct","all_trials","Llama-3.1-8B",NA
"critical_fit",18,2083.11485425334,2181.19534409914,-1023.55742712667,2047.11485425334,0.592839721123482,1,0.441323112324889,"auc_logprobdiff_pos","baseline_final","response_correct","all_trials","Llama-3.1-8B",NA
"critical_fit",18,2072.81968993197,2170.90017977776,-1018.40984496598,2036.81968993197,4.90358068172941,1,0.0268010681716682,"auc_logprobdiff_pos","baseline_midpoint","response_correct","all_trials","Llama-3.1-8B",NA
"critical_fit",18,2083.57036177028,2181.65085161607,-1023.78518088514,2047.57036177028,0.137332204187032,1,0.710947699373598,"auc_logprobdiff_neg","baseline_final","response_correct","all_trials","Llama-3.1-8B",NA
"critical_fit",18,2077.05193760287,2175.13242744866,-1020.52596880143,2041.05193760287,0.671333010830494,1,0.412587244535207,"auc_logprobdiff_neg","baseline_midpoint","response_correct","all_trials","Llama-3.1-8B",NA
"critical_fit",18,2083.55733556266,2181.63782540846,-1023.77866778133,2047.55733556266,0.150358411803609,1,0.698193082220313,"layer_biggest_change_logprobdiff","baseline_final","response_correct","all_trials","Llama-3.1-8B",NA
"critical_fit",18,2072.16732187862,2170.24781172442,-1018.08366093931,2036.16732187862,5.55594873507425,1,0.0184179881897348,"layer_biggest_change_logprobdiff","baseline_midpoint","response_correct","all_trials","Llama-3.1-8B",NA
"critical_fit",18,2079.56770080345,2177.64819064925,-1021.78385040173,2043.56770080345,4.13999317101525,1,0.0418813383563827,"auc_boosting_pos","baseline_final","response_correct","all_trials","Llama-3.1-8B",NA
"critical_fit",18,2067.44268614982,2165.52317599562,-1015.72134307491,2031.44268614982,10.2805844638783,1,0.00134437354924501,"auc_boosting_pos","baseline_midpoint","response_correct","all_trials","Llama-3.1-8B",NA
"critical_fit",18,2080.58343714759,2178.66392699339,-1022.2917185738,2044.58343714759,3.12425682687467,1,0.0771350355951914,"auc_boosting_neg","baseline_final","response_correct","all_trials","Llama-3.1-8B",NA
"critical_fit",18,2075.94018919085,2174.02067903665,-1019.97009459543,2039.94018919085,1.78308142284482,1,0.181771400264464,"auc_boosting_neg","baseline_midpoint","response_correct","all_trials","Llama-3.1-8B",NA
"critical_fit",18,2082.37834404646,2180.45883389226,-1023.18917202323,2046.37834404647,1.32934992800074,1,0.248920899184612,"layer_argmax_boosting","baseline_final","response_correct","all_trials","Llama-3.1-8B",NA
"critical_fit",18,2077.7214395705,2175.8019294163,-1020.86071978525,2041.7214395705,0.00183104319626182,1,0.965868385072499,"layer_argmax_boosting","baseline_midpoint","response_correct","all_trials","Llama-3.1-8B",NA
