"term","formula","log_BF","iv","baseline_type","dv","data_subset","model","file_suffix"
"baseline_final_fit","condition + output_entropy * output_rank_correct * output_logprob_correct + (1 | subject_id)",0,"baseline_final","baseline_final","response_correct","all_trials","vit_small_patch16_224","phase-scrambling"
"critical_fit","auc_entropy + condition + output_entropy * output_rank_correct * output_logprob_correct + (1 | subject_id)",-3.43520670666862,"auc_entropy","baseline_final","response_correct","all_trials","vit_small_patch16_224","phase-scrambling"
"baseline_midpoint_fit","condition + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct + (1 | subject_id)",0,"baseline_midpoint","baseline_midpoint","response_correct","all_trials","vit_small_patch16_224","phase-scrambling"
"critical_fit","auc_entropy + condition + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct + (1 | subject_id)",48.6319789325833,"auc_entropy","baseline_midpoint","response_correct","all_trials","vit_small_patch16_224","phase-scrambling"
"critical_fit","layer_biggest_change_entropy + condition + output_entropy * output_rank_correct * output_logprob_correct + (1 | subject_id)",-4.10155652151934,"layer_biggest_change_entropy","baseline_final","response_correct","all_trials","vit_small_patch16_224","phase-scrambling"
"critical_fit","layer_biggest_change_entropy + condition + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct + (1 | subject_id)",-4.19323704598628,"layer_biggest_change_entropy","baseline_midpoint","response_correct","all_trials","vit_small_patch16_224","phase-scrambling"
"critical_fit","auc_rank_correct + condition + output_entropy * output_rank_correct * output_logprob_correct + (1 | subject_id)",-0.944580619243425,"auc_rank_correct","baseline_final","response_correct","all_trials","vit_small_patch16_224","phase-scrambling"
"critical_fit","auc_rank_correct + condition + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct + (1 | subject_id)",35.1203772590304,"auc_rank_correct","baseline_midpoint","response_correct","all_trials","vit_small_patch16_224","phase-scrambling"
"critical_fit","layer_biggest_change_rank_correct + condition + output_entropy * output_rank_correct * output_logprob_correct + (1 | subject_id)",-2.91836733094283,"layer_biggest_change_rank_correct","baseline_final","response_correct","all_trials","vit_small_patch16_224","phase-scrambling"
"critical_fit","layer_biggest_change_rank_correct + condition + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct + (1 | subject_id)",-4.12643684798309,"layer_biggest_change_rank_correct","baseline_midpoint","response_correct","all_trials","vit_small_patch16_224","phase-scrambling"
"critical_fit","auc_logprob_correct + condition + output_entropy * output_rank_correct * output_logprob_correct + (1 | subject_id)",-4.04685378541285,"auc_logprob_correct","baseline_final","response_correct","all_trials","vit_small_patch16_224","phase-scrambling"
"critical_fit","auc_logprob_correct + condition + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct + (1 | subject_id)",8.25348398238862,"auc_logprob_correct","baseline_midpoint","response_correct","all_trials","vit_small_patch16_224","phase-scrambling"
"critical_fit","layer_biggest_change_logprob_correct + condition + output_entropy * output_rank_correct * output_logprob_correct + (1 | subject_id)",3.57605776486207,"layer_biggest_change_logprob_correct","baseline_final","response_correct","all_trials","vit_small_patch16_224","phase-scrambling"
"critical_fit","layer_biggest_change_logprob_correct + condition + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct + (1 | subject_id)",6.95097602976534,"layer_biggest_change_logprob_correct","baseline_midpoint","response_correct","all_trials","vit_small_patch16_224","phase-scrambling"
