"subject_nr","correct","Typicality","group","Exemplar","MAD","AUC","RT","acc_max_time","xpos_flips"
1005,1,"Atypical","touch","Schmetterling",127.191896592807,74855,1540,1500,1
1005,1,"Atypical","touch","Seeloewe",94.9733558556301,54214,1640,1580,0
1005,1,"Atypical","touch","Wal",83.853808932033,54054,1490,1460,1
1006,1,"Typical","touch","Alligator",247.937891470753,126013.5,1710,1630,5
1006,1,"Typical","touch","Chamaeleon",484.782971798247,239133.5,1180,1060,1
1006,1,"Typical","touch","Falke",115.460001115023,58790.5,960,900,2
1006,1,"Typical","touch","Goldfisch",644.566148847478,280396.5,1248,1188,1
1006,1,"Typical","touch","Hai",-172.12166798121,-37254.5,991,581,2
1006,1,"Typical","touch","Hund",29.8235055348613,12171.5,790,620,0
1006,1,"Typical","touch","Kaninchen",-23.5207280551888,-7756,951,700,2
1006,1,"Typical","touch","Katze",601.779392840149,284330,1050,900,3
1006,1,"Typical","touch","Klapperschlange",145.014402425635,49398.5,3511,3341,2
1006,1,"Typical","touch","Lachs",-43.2161461169139,-8384,1070,780,0
1006,1,"Typical","touch","Loewe",-52.7840410940704,-20029,760,700,0
1006,1,"Typical","touch","Pferd",291.973361618175,133967,1110,980,2
1006,1,"Typical","touch","Spatz",47.6879991146736,15291.5,850,750,1
1006,1,"Atypical","touch","Aal",259.447439480909,123676.5,1501,1221,3
1006,1,"Atypical","touch","Fledermaus",333.341225036339,138471.5,1900,1700,3
1006,1,"Atypical","touch","Pinguin",342.009130766909,60396.5,2250,2220,3
1006,1,"Atypical","touch","Schmetterling",346.605000957751,142434,1884,980,3
1006,1,"Atypical","touch","Seeloewe",38.8352174360993,14056,1100,940,0
1006,1,"Atypical","touch","Wal",154.56131862786,74222.5,1305,1245,0
1007,1,"Typical","click","Alligator",34.0911342762119,-17627.5,2094,1501,2
1007,1,"Typical","click","Chamaeleon",867.028061442707,404871,2037,1580,3
1007,1,"Typical","click","Falke",122.088219500621,103611,1566,981,2
1007,1,"Typical","click","Goldfisch",-84.1070317683145,-58580.5,1533,940,1
1007,1,"Typical","click","Hai",-155.427882705047,-114776,4461,1628,2
1007,1,"Typical","click","Hund",-138.136011153243,-65368,1382,750,1
1007,1,"Typical","click","Kaninchen",-65.3597757220873,-33570.5,1301,780,0
1007,1,"Typical","click","Katze",1171.7904006646,639384,1598,1110,3
1007,1,"Typical","click","Klapperschlange",-46.9539797103688,-24455,1262,790,0
1007,1,"Typical","click","Lachs",237.828390203984,197377,1333,940,1
1007,1,"Typical","click","Loewe",411.381561465876,268249,1414,900,2
1007,1,"Typical","click","Pferd",58.6995897230701,31569,1581,700,1
1007,1,"Typical","click","Spatz",51.8450900288942,13350,1733,1100,2
1007,1,"Atypical","click","Aal",-47.1981845262908,-33873,1637,1020,1
1007,1,"Atypical","click","Fledermaus",912.93644405401,585756,1885,1420,1
1007,1,"Atypical","click","Pinguin",1100.06928279363,513185,3101,2340,2
1007,1,"Atypical","click","Schmetterling",852.213141078488,467214,2069,860,1
1007,1,"Atypical","click","Seeloewe",-89.0482722186836,9160.5,2989,1660,4
1007,1,"Atypical","click","Wal",373.354893542671,73768.5,1685,1340,2
1008,0,"Typical","touch","Kaninchen",-30.1608656113183,-21952.5,820,740,0
1008,1,"Typical","touch","Alligator",-25.8389504862261,-20277,1230,1140,0
1008,1,"Typical","touch","Chamaeleon",-40.4998471944056,-22948.5,1040,980,1
1008,1,"Typical","touch","Falke",-39.8360093172585,-16961.5,993,893,0
1008,1,"Typical","touch","Goldfisch",-50.5162944865017,-28215,851,701,0
1008,1,"Typical","touch","Hai",-51.9964144553481,-27484.5,800,750,0
1008,1,"Typical","touch","Hund",-28.7436340950253,-2775.5,1330,1140,0
1008,1,"Typical","touch","Katze",-30.0045143394333,-19591.5,1020,860,0
1008,1,"Typical","touch","Klapperschlange",-16.7456196363636,-1903,1690,1460,1
1008,1,"Typical","touch","Lachs",-15.4182298917104,-6208,900,860,0
1008,1,"Typical","touch","Loewe",-39.0283810932712,-22928.5,1140,1060,0
1008,1,"Typical","touch","Pferd",17.1720430555702,4242.5,710,620,0
1008,1,"Typical","touch","Spatz",-16.6704198009851,-2489.5,1060,980,0
1008,1,"Atypical","touch","Aal",-66.076110688111,-45776.5,870,700,0
1008,1,"Atypical","touch","Fledermaus",-19.2347753858796,-4399.5,1930,1590,0
1008,1,"Atypical","touch","Pinguin",-43.9392027864681,-26559.5,1710,1590,0
1008,1,"Atypical","touch","Schmetterling",-34.3876257561905,-15227.5,1520,1350,0
1008,1,"Atypical","touch","Seeloewe",11.4273702715367,3599.5,1950,1780,0
1008,1,"Atypical","touch","Wal",-16.3089536013038,-643,1350,1260,0
1009,1,"Typical","touch","Alligator",-203.390766185617,-123619,5140,5060,0
1009,1,"Typical","touch","Chamaeleon",-204.789434799591,-123241,2070,1980,0
1009,1,"Typical","touch","Falke",-295.700465465512,-153939,2220,1780,2
1009,1,"Typical","touch","Goldfisch",-63.7996293816476,-46319,1037,847,0
1009,1,"Typical","touch","Hai",-146.829477332211,-98217,1695,1405,0
1009,1,"Typical","touch","Hund",-123.324048436213,-94487,931,821,0
1009,1,"Typical","touch","Kaninchen",-244.871250734941,-146806,1171,701,1
1009,1,"Typical","touch","Katze",-182.617599204381,-143906,960,780,0
1009,1,"Typical","touch","Klapperschlange",-318.749388293062,-214018,15132,4692,5
1009,1,"Typical","touch","Lachs",613.413993851265,494838.5,1950,1300,1
1009,1,"Typical","touch","Loewe",-162.706587871853,-90940,1507,740,2
1009,1,"Typical","touch","Pferd",-262.078098695915,-156719.5,1040,950,0
1009,1,"Typical","touch","Spatz",-248.941586452908,-196815,1360,980,1
1009,1,"Atypical","touch","Aal",343.120522441247,211033,19903,19773,3
1009,1,"Atypical","touch","Fledermaus",-158.690661340789,-111325.5,3467,2827,1
1009,1,"Atypical","touch","Pinguin",-120.606216466492,-75827,2190,1380,0
1009,1,"Atypical","touch","Schmetterling",-186.131192018103,-160265.5,1980,1340,1
1009,1,"Atypical","touch","Seeloewe",-304.400870330213,-205325,1870,1220,0
1009,1,"Atypical","touch","Wal",-277.730137873041,-177115.5,10220,9670,2
1010,1,"Typical","click","Alligator",109.53003593534,97117.5,1070,621,1
1010,1,"Typical","click","Chamaeleon",72.2526365947264,8157,1109,700,1
1010,1,"Typical","click","Falke",925.17202758227,427328.5,1398,1061,1
1010,1,"Typical","click","Goldfisch",131.20346047761,78122.5,1630,1221,1
1010,1,"Typical","click","Hai",888.625167373037,494802,1413,580,1
1010,1,"Typical","click","Hund",33.0043472015232,16047,846,500,0
1010,1,"Typical","click","Kaninchen",158.393087538404,33907.5,1301,717,3
1010,1,"Typical","click","Katze",-54.7234372406105,9744.5,861,580,1
1010,1,"Typical","click","Klapperschlange",948.30412683707,497354.5,1893,780,3
1010,1,"Typical","click","Lachs",-162.958239073929,-99762.5,1157,740,2
1010,1,"Typical","click","Loewe",185.121927320627,136058.5,957,580,0
1010,1,"Typical","click","Pferd",107.601454724931,33138.5,1165,772,1
1010,1,"Typical","click","Spatz",-52.7088693208145,2054.5,1021,660,1
1010,1,"Atypical","click","Aal",1111.11538620712,630883.5,1350,1061,1
1010,1,"Atypical","click","Fledermaus",1133.25290104293,527201,1403,1051,2
1010,1,"Atypical","click","Pinguin",1201.81206653743,85267.5,1765,620,2
1010,1,"Atypical","click","Schmetterling",695.97229606039,278940.5,1405,940,2
1010,1,"Atypical","click","Seeloewe",1068.11414228586,562603,1445,1140,2
1010,1,"Atypical","click","Wal",1226.62356612076,294484,3077,1013,2
1011,1,"Typical","touch","Alligator",41.76156789088,23178.5,1191,1141,0
1011,1,"Typical","touch","Chamaeleon",46.4097415080214,24481.5,1450,1340,0
1011,1,"Typical","touch","Falke",40.4976169254148,20647.5,1210,1100,1
1011,1,"Typical","touch","Goldfisch",-11.0573336938804,-411.5,1641,1341,0
1011,1,"Typical","touch","Hai",33.3300215153055,11877.5,1741,1501,0
1011,1,"Typical","touch","Hund",-15.0324054161226,-3110.5,943,853,0
1011,1,"Typical","touch","Kaninchen",32.5564794003309,9259.5,1060,990,0
1011,1,"Typical","touch","Katze",36.8797368514022,17142,1371,1261,0
1011,1,"Typical","touch","Klapperschlange",-59.1233271715494,-6464.5,1780,1430,2
1011,1,"Typical","touch","Lachs",6.6048538112479,1514,1300,1220,0
1011,1,"Typical","touch","Loewe",31.523575153539,12273.5,1359,1269,0
1011,1,"Typical","touch","Pferd",-14.4617566415053,-561.5,1128,958,0
1011,1,"Typical","touch","Spatz",-39.6415027564603,-19799,1350,1140,0
1011,1,"Atypical","touch","Aal",-17.9332646274464,-2952,1456,973,1
1011,1,"Atypical","touch","Fledermaus",-50.820333972613,-21354.5,4231,4021,2
1011,1,"Atypical","touch","Pinguin",98.347484651242,65298.5,1770,1620,0
1011,1,"Atypical","touch","Schmetterling",43.9740775991899,23013.5,1940,1700,0
1011,1,"Atypical","touch","Seeloewe",32.972882974911,4476.5,2641,2501,2
1011,1,"Atypical","touch","Wal",-112.50535901961,-52906.5,1900,1620,1
1012,0,"Typical","touch","Lachs",253.377949677149,130091,1101,541,1
1012,0,"Atypical","touch","Fledermaus",-47.1846888379027,-15393,840,470,1
1012,0,"Atypical","touch","Seeloewe",512.445009725545,259488.5,1280,1180,2
1012,1,"Typical","touch","Alligator",49.2152064569212,30146.5,910,780,0
1012,1,"Typical","touch","Chamaeleon",83.4963196522867,56408.5,800,660,2
1012,1,"Typical","touch","Falke",661.228774660516,340802,1040,910,3
1012,1,"Typical","touch","Goldfisch",52.8239086256884,32243.5,990,700,1
1012,1,"Typical","touch","Hai",48.5458400312938,21985,640,590,0
1012,1,"Typical","touch","Hund",136.312193667638,34899.5,1261,621,2
1012,1,"Typical","touch","Kaninchen",265.763074609963,193985.5,840,750,1
1012,1,"Typical","touch","Katze",57.2660724349579,34645.5,580,540,0
1012,1,"Typical","touch","Klapperschlange",27.5366273014351,8194.5,1150,740,0
1012,1,"Typical","touch","Loewe",131.770777330982,84623,690,590,1
1012,1,"Typical","touch","Pferd",61.3847419353068,33441,1070,620,0
1012,1,"Typical","touch","Spatz",167.754895269837,86987.5,910,790,1
1012,1,"Atypical","touch","Aal",28.1069856942554,15948,630,540,0
1012,1,"Atypical","touch","Pinguin",308.682432565377,162477.5,1020,860,2
1012,1,"Atypical","touch","Schmetterling",-60.2246204517694,-28548.5,1960,1180,0
1012,1,"Atypical","touch","Wal",39.7448861853446,19425.5,1040,860,0
1013,0,"Typical","click","Klapperschlange",1066.39459748117,471247.5,4005,1220,5
1013,0,"Atypical","click","Wal",-84.8530615800218,-47438,1685,820,1
1013,1,"Typical","click","Alligator",974.474649133463,303162,2070,1205,4
1013,1,"Typical","click","Chamaeleon",-102.99387834932,-29700,2270,1460,0
1013,1,"Typical","click","Falke",-57.2651611686796,-19818.5,1933,1220,1
1013,1,"Typical","click","Goldfisch",443.297249122518,211446.5,3278,1060,5
1013,1,"Typical","click","Hai",-81.1960572486959,-3901,2301,1660,0
1013,1,"Typical","click","Hund",81.0101059756574,40468,1462,990,2
1013,1,"Typical","click","Kaninchen",-71.9393612511576,-25488.5,1781,1220,1
1013,1,"Typical","click","Katze",53.3791254813058,1831,1341,860,0
1013,1,"Typical","click","Lachs",92.5098953884545,-23980,1453,1180,2
1013,1,"Typical","click","Loewe",-91.1882750055086,-43419,1638,1220,1
1013,1,"Typical","click","Pferd",263.153973073349,180671.5,1566,1190,3
1013,1,"Typical","click","Spatz",-131.698766801775,-90646.5,2245,1460,1
1013,1,"Atypical","click","Aal",90.5863025227718,57959,3542,901,1
1013,1,"Atypical","click","Fledermaus",-62.5630877394335,-36012.5,1750,1278,2
1013,1,"Atypical","click","Pinguin",860.116301633303,452569,2078,1660,4
1013,1,"Atypical","click","Schmetterling",246.315187578456,50202.5,1854,1342,3
1013,1,"Atypical","click","Seeloewe",853.847899700275,451784,1686,1261,3
1014,0,"Typical","click","Hai",920.388374517491,53261.5,2406,870,4
1014,0,"Typical","click","Klapperschlange",173.431856783907,57030.5,1477,684,3
1014,0,"Atypical","click","Fledermaus",-39.7438399414379,-12078,1125,660,0
1014,1,"Typical","click","Alligator",877.487313664992,411312,1222,790,2
1014,1,"Typical","click","Chamaeleon",-111.605639151444,10383,1310,685,1
1014,1,"Typical","click","Falke",928.412881125689,382682.5,1189,860,1
1014,1,"Typical","click","Goldfisch",468.602426561109,363296,1293,980,2
1014,1,"Typical","click","Hund",960.78740111805,501230,1311,990,1
1014,1,"Typical","click","Kaninchen",73.8403776772093,62252.5,1174,660,1
1014,1,"Typical","click","Katze",937.682900346709,467137,1325,900,1
1014,1,"Typical","click","Lachs",360.433958041838,204015.5,1021,460,2
1014,1,"Typical","click","Loewe",303.770982380261,144229.5,1021,532,1
1014,1,"Typical","click","Pferd",215.433219462632,150921,750,420,1
1014,1,"Typical","click","Spatz",143.613027552313,77850.5,926,430,0
1014,1,"Atypical","click","Aal",119.782663417174,106243.5,885,420,0
1014,1,"Atypical","click","Pinguin",559.815214068895,268105.5,1544,640,1
1014,1,"Atypical","click","Schmetterling",155.040557930749,80574,989,540,1
1014,1,"Atypical","click","Seeloewe",92.5807662479117,45762,2069,900,4
1014,1,"Atypical","click","Wal",154.34751238638,-44259.5,1141,500,3
1015,0,"Atypical","click","Pinguin",-84.2315632530286,-12308.5,1837,1420,1
1015,1,"Typical","click","Alligator",-89.3342289055159,-46392,1853,1420,3
1015,1,"Typical","click","Chamaeleon",44.6246325683983,19376,1285,940,1
1015,1,"Typical","click","Falke",-101.336229656762,-51741.5,1285,860,1
1015,1,"Typical","click","Goldfisch",-75.1488436853194,-35211,1285,741,2
1015,1,"Typical","click","Hai",-41.0422299600245,-10882.5,1181,821,1
1015,1,"Typical","click","Hund",-51.1328643279213,-17862,1390,910,0
1015,1,"Typical","click","Kaninchen",-35.245201153663,-20445,1501,1116,0
1015,1,"Typical","click","Katze",1192.96045127798,574260,1597,660,1
1015,1,"Typical","click","Klapperschlange",-56.892097299493,14915.5,1581,1060,2
