subject_id,Session,trial,rt,object_response,category,condition,item_id,response_correct,rt_zscore,output_entropy,output_rank_correct,output_logprob_correct,midpoint_entropy,midpoint_rank_correct,midpoint_logprob_correct,auc_entropy,layer_biggest_change_entropy,auc_rank_correct,layer_biggest_change_rank_correct,auc_logprob_correct,layer_biggest_change_logprob_correct
subject-02,1,1,1.12876987457275,bottle,bottle,cr,cr_bottle_40_n03983396_2053.png,True,1.8905788900109297,0.1028564572334289,1.0,-0.013976759004669945,1.825692653656006,0.5,-1.3482614392167673,25.88451248407364,10.0,9.25,1.0,18.119501892601882,10.0
subject-01,1,912,0.646662950515747,bottle,bottle,cr,cr_bottle_40_n03983396_2053.png,True,-0.8036250271384756,0.1028564572334289,1.0,-0.013976759004669945,1.825692653656006,0.5,-1.3482614392167673,25.88451248407364,10.0,9.25,1.0,18.119501892601882,10.0
subject-04,1,499,0.891036033630371,bottle,bottle,cr,cr_bottle_40_n03983396_2053.png,True,0.32245425296972297,0.1028564572334289,1.0,-0.013976759004669945,1.825692653656006,0.5,-1.3482614392167673,25.88451248407364,10.0,9.25,1.0,18.119501892601882,10.0
subject-03,1,213,1.12436413764954,bottle,bottle,cr,cr_bottle_40_n03983396_2053.png,True,1.4066753730139858,0.1028564572334289,1.0,-0.013976759004669945,1.825692653656006,0.5,-1.3482614392167673,25.88451248407364,10.0,9.25,1.0,18.119501892601882,10.0
subject-02,1,2,1.07644009590149,cat,clock,bw,bw_clock_40_n04548280_7384.png,False,1.6230943386726888,0.6257498264312744,1.0,-0.15116295462236504,1.7572585344314575,1.0,-1.025191442844227,25.999558806419373,10.0,8.416666666666666,2.0,18.795929705416555,10.0
subject-01,1,257,,na,clock,bw,bw_clock_40_n04548280_7384.png,False,,0.6257498264312744,1.0,-0.15116295462236504,1.7572585344314575,1.0,-1.025191442844227,25.999558806419373,10.0,8.416666666666666,2.0,18.795929705416555,10.0
subject-04,1,941,1.30066299438477,chair,clock,bw,bw_clock_40_n04548280_7384.png,False,2.301188241069393,0.6257498264312744,1.0,-0.15116295462236504,1.7572585344314575,1.0,-1.025191442844227,25.999558806419373,10.0,8.416666666666666,2.0,18.795929705416555,10.0
subject-03,1,61,0.901612043380737,oven,clock,bw,bw_clock_40_n04548280_7384.png,False,0.3646153962525617,0.6257498264312744,1.0,-0.15116295462236504,1.7572585344314575,1.0,-1.025191442844227,25.999558806419373,10.0,8.416666666666666,2.0,18.795929705416555,10.0
subject-02,1,3,0.580382108688354,airplane,airplane,cr,cr_airplane_40_n02690373_1732.png,True,-0.9125144775046652,0.0015500269364565,1.0,-0.00013394060645297132,1.988563060760498,1.0,-1.2896554257611308,25.68063730816357,10.0,9.083333333333332,0.0,18.57301967097092,10.0
subject-01,1,720,0.677892923355103,airplane,airplane,cr,cr_airplane_40_n02690373_1732.png,True,-0.6222136140432656,0.0015500269364565,1.0,-0.00013394060645297132,1.988563060760498,1.0,-1.2896554257611308,25.68063730816357,10.0,9.083333333333332,0.0,18.57301967097092,10.0
