term,npar,AIC,BIC,logLik,deviance,statistic,df,p.value,iv,dv,data_subset,file_prefix,p_fdr,model,AIC_diff_baseline,BIC_diff_baseline,metric_group,is_control,metric_quantity_type,task,dataset,p_fdr_sig
critical_fit,35,50571.016478965,50765.5280305215,-25250.5082394825,50501.016478965,5.2606874642297,1.0,0.0218124012392441,auc_rank_correct,AUC,filteredCorrect,Llama-2-13b-hf,0.365327338059811,Llama-2-13b-hf,3.2606874642006005,-2.2967854374001035,Confidence,False,AUC,animals,,False
baseline_fit,34,50574.2771664292,50763.2312450841,-25253.1385832146,50506.2771664292,,,,baseline,AUC,filteredCorrect,Llama-2-13b-hf,,Llama-2-13b-hf,0.0,0.0,Baseline,False,baseline,animals,,
critical_fit,35,50575.2948595553,50769.8064111118,-25252.6474297776,50505.2948595553,0.0006442708327085,1.0,0.979749877028786,layer_argmax_boost,AUC,filteredCorrect,Llama-2-70b-hf,1.0,Llama-2-70b-hf,-1.9993557292036712,-7.556828630797099,Boosting,False,MaxDeltaLayer,animals,,False
critical_fit,35,50575.2948595553,50769.8064111118,-25252.6474297776,50505.2948595553,0.0006442708399845,1.0,0.979749876914465,layer_biggest_change_logprobdiff,AUC,filteredCorrect,Llama-2-70b-hf,1.0,Llama-2-70b-hf,-1.9993557292036712,-7.556828630797099,Relative confidence,False,MaxDeltaLayer,animals,,False
critical_fit,35,50575.2910286142,50769.8025801707,-25252.6455143071,50505.2910286142,0.0044752118919859,1.0,0.946663681809091,auc_boost_pos,AUC,filteredCorrect,Llama-2-70b-hf,1.0,Llama-2-70b-hf,-1.995524788100738,-7.552997689694166,Boosting,False,AUC,animals,,False
critical_fit,35,50575.285099563,50769.7966511195,-25252.6425497815,50505.285099563,0.0104042631355696,1.0,0.918755651255728,auc_rank_correct,AUC,filteredCorrect,Llama-2-70b-hf,1.0,Llama-2-70b-hf,-1.9895957369008102,-7.547068638494238,Confidence,False,AUC,animals,,False
critical_fit,35,50575.2810167438,50769.7925683003,-25252.6405083719,50505.2810167438,0.0144870822623488,1.0,0.90419615776946,auc_logprob_correct,AUC,filteredCorrect,Llama-2-70b-hf,1.0,Llama-2-70b-hf,-1.9855129177012714,-7.5429858192946995,Confidence,False,AUC,animals,,False
critical_fit,35,50575.2426406605,50769.7541922171,-25252.6213203303,50505.2426406605,0.0528631655470235,1.0,0.81815400389787,auc_boost_neg,AUC,filteredCorrect,Llama-2-70b-hf,1.0,Llama-2-70b-hf,-1.9471368344020448,-7.504609736097336,Boosting,False,AUC,animals,,False
critical_fit,35,50575.2178880882,50769.7294396447,-25252.6089440441,50505.2178880882,0.0776157379150391,1.0,0.780554873530665,auc_logprobdiff_pos,AUC,filteredCorrect,Llama-2-70b-hf,1.0,Llama-2-70b-hf,-1.9223842620995129,-7.479857163700217,Relative confidence,False,AUC,animals,,False
critical_fit,35,50575.0787527146,50769.5903042711,-25252.5393763573,50505.0787527146,0.216751111496706,1.0,0.641526637306022,layer_biggest_change_logprob_correct,AUC,filteredCorrect,Llama-2-70b-hf,1.0,Llama-2-70b-hf,-1.7832488885032944,-7.3407217900967225,Confidence,False,MaxDeltaLayer,animals,,False
critical_fit,35,50574.9288974828,50769.4404490394,-25252.4644487414,50504.9288974828,0.366606343246531,1.0,0.544859938025722,layer_biggest_change_rank_correct,AUC,filteredCorrect,Llama-2-70b-hf,1.0,Llama-2-70b-hf,-1.6333936567025376,-7.190866558397829,Confidence,False,MaxDeltaLayer,animals,,False
critical_fit,35,50574.168525559,50768.6800771155,-25252.0842627795,50504.168525559,1.12697826707881,1.0,0.28842079892681,auc_logprobdiff_neg,AUC,filteredCorrect,Llama-2-70b-hf,1.0,Llama-2-70b-hf,-0.8730217328993604,-6.430494634500064,Relative confidence,False,AUC,animals,,False
critical_fit,35,50574.1359823676,50768.6475339241,-25252.0679911838,50504.1359823676,1.15952145853225,1.0,0.281564807823092,layer_biggest_change_entropy,AUC,filteredCorrect,Llama-2-70b-hf,1.0,Llama-2-70b-hf,-0.840478541504126,-6.397951443097554,Uncertainty,False,MaxDeltaLayer,animals,,False
critical_fit,35,50573.1228595659,50767.6344111224,-25251.561429783,50503.1228595659,2.17264426018664,1.0,0.14048449005394,auc_entropy,AUC,filteredCorrect,Llama-2-70b-hf,1.0,Llama-2-70b-hf,0.17264426020119572,-5.384828641399508,Uncertainty,False,AUC,animals,,False
baseline_fit,34,50573.2955038261,50762.249582481,-25252.647751913,50505.2955038261,,,,baseline,AUC,filteredCorrect,Llama-2-70b-hf,,Llama-2-70b-hf,0.0,0.0,Baseline,False,baseline,animals,,
critical_fit,35,50587.0454847256,50781.5570362821,-25258.5227423628,50517.0454847256,0.0799724495809642,1.0,0.777334749721251,layer_argmax_boost,AUC,filteredCorrect,Llama-2-7b-hf,1.0,Llama-2-7b-hf,-1.920027550397208,-7.477500452005188,Boosting,False,MaxDeltaLayer,animals,,False
critical_fit,35,50586.968728788,50781.4802803446,-25258.484364394,50516.968728788,0.156728387148178,1.0,0.692186648998591,auc_entropy,AUC,filteredCorrect,Llama-2-7b-hf,1.0,Llama-2-7b-hf,-1.8432716128008906,-7.400744514503458,Uncertainty,False,AUC,animals,,False
critical_fit,35,50586.8327956132,50781.3443471697,-25258.4163978066,50516.8327956132,0.292661562016292,1.0,0.588519965500379,auc_boost_neg,AUC,filteredCorrect,Llama-2-7b-hf,1.0,Llama-2-7b-hf,-1.70733843799826,-7.26481133960624,Boosting,False,AUC,animals,,False
critical_fit,35,50586.0662591879,50780.5778107444,-25258.0331295939,50516.0662591879,1.05919798732793,1.0,0.303398176718061,auc_rank_correct,AUC,filteredCorrect,Llama-2-7b-hf,1.0,Llama-2-7b-hf,-0.9408020127011696,-6.498274914301874,Confidence,False,AUC,animals,,False
critical_fit,35,50585.9979717874,50780.5095233439,-25257.9989858937,50515.9979717874,1.12748538779852,1.0,0.288312346437614,layer_biggest_change_rank_correct,AUC,filteredCorrect,Llama-2-7b-hf,1.0,Llama-2-7b-hf,-0.8725146122014849,-6.429987513802189,Confidence,False,MaxDeltaLayer,animals,,False
critical_fit,35,50585.0266674167,50779.5382189732,-25257.5133337083,50515.0266674167,2.09878975852916,1.0,0.147415781236046,auc_logprobdiff_pos,AUC,filteredCorrect,Llama-2-7b-hf,1.0,Llama-2-7b-hf,0.098789758500061,-5.458683143100643,Relative confidence,False,AUC,animals,,False
critical_fit,35,50584.7040989814,50779.2156505379,-25257.3520494907,50514.7040989814,2.4213581937729,1.0,0.119691115589688,auc_logprob_correct,AUC,filteredCorrect,Llama-2-7b-hf,1.0,Llama-2-7b-hf,0.421358193802007,-5.136114707805973,Confidence,False,AUC,animals,,False
critical_fit,35,50584.1968974806,50778.7084490371,-25257.0984487403,50514.1968974806,2.92855969458469,1.0,0.0870250992211294,layer_biggest_change_logprobdiff,AUC,filteredCorrect,Llama-2-7b-hf,1.0,Llama-2-7b-hf,0.9285596945992438,-4.62891320700146,Relative confidence,False,MaxDeltaLayer,animals,,False
critical_fit,35,50583.6860665237,50778.1976180802,-25256.8430332618,50513.6860665237,3.43939065149607,1.0,0.0636591671629773,auc_boost_pos,AUC,filteredCorrect,Llama-2-7b-hf,0.881030119005523,Llama-2-7b-hf,1.439390651496069,-4.118082250104635,Boosting,False,AUC,animals,,False
critical_fit,35,50581.8191920933,50776.3307436498,-25255.9095960467,50511.8191920933,5.30626508186106,1.0,0.021248862890334,auc_logprobdiff_neg,AUC,filteredCorrect,Llama-2-7b-hf,0.35747058392083675,Llama-2-7b-hf,3.306265081897436,-2.251207819703268,Relative confidence,False,AUC,animals,,False
critical_fit,35,50581.364077556,50775.8756291125,-25255.682038778,50511.364077556,5.76137961921631,1.0,0.0163822037568266,layer_biggest_change_entropy,AUC,filteredCorrect,Llama-2-7b-hf,0.2897648375910424,Llama-2-7b-hf,3.7613796192017617,-1.7960932824062183,Uncertainty,False,MaxDeltaLayer,animals,,False
critical_fit,35,50580.3861005691,50774.8976521256,-25255.1930502845,50510.3861005691,6.73935660612187,1.0,0.0094308631806078,layer_biggest_change_logprob_correct,AUC,filteredCorrect,Llama-2-7b-hf,0.17994859618767564,Llama-2-7b-hf,4.739356606100046,-0.8181162955006585,Confidence,False,MaxDeltaLayer,animals,,False
baseline_fit,34,50585.1254571752,50774.0795358301,-25258.5627285876,50517.1254571752,,,,baseline,AUC,filteredCorrect,Llama-2-7b-hf,,Llama-2-7b-hf,0.0,0.0,Baseline,False,baseline,animals,,
critical_fit,35,26806.3119209315,27000.823472488,-13368.1559604658,26736.3119209315,0.239400305898016,1.0,0.624639581288327,layer_biggest_change_entropy,MAD,filteredCorrect,Llama-2-13b-hf,1.0,Llama-2-13b-hf,-1.760599694101984,-7.31807259569905,Uncertainty,False,MaxDeltaLayer,animals,,False
critical_fit,35,26805.8219370052,27000.3334885617,-13367.9109685026,26735.8219370052,0.729384232257871,1.0,0.39308285561384,auc_boost_neg,MAD,filteredCorrect,Llama-2-13b-hf,1.0,Llama-2-13b-hf,-1.2706157678003365,-6.8280886694010405,Boosting,False,AUC,animals,,False
critical_fit,35,26803.3948904308,26997.9064419873,-13366.6974452154,26733.3948904308,3.15643080662267,1.0,0.0756283648868516,auc_entropy,MAD,filteredCorrect,Llama-2-13b-hf,1.0,Llama-2-13b-hf,1.1564308065972,-4.401042094999866,Uncertainty,False,AUC,animals,,False
critical_fit,35,26802.7063197174,26997.2178712739,-13366.3531598587,26732.7063197174,3.84500152000692,1.0,0.0498944764407253,layer_biggest_change_logprobdiff,MAD,filteredCorrect,Llama-2-13b-hf,0.7110056061987189,Llama-2-13b-hf,1.8450015199996415,-3.7124713816010626,Relative confidence,False,MaxDeltaLayer,animals,,False
critical_fit,35,26802.2575911749,26996.7691427314,-13366.1287955875,26732.2575911749,4.29373006248716,1.0,0.0382531544600611,auc_logprobdiff_neg,MAD,filteredCorrect,Llama-2-13b-hf,0.578025046749343,Llama-2-13b-hf,2.2937300624980708,-3.2637428390989953,Relative confidence,False,AUC,animals,,False
critical_fit,35,26802.0612779152,26996.5728294717,-13366.0306389576,26732.0612779152,4.49004332221011,1.0,0.0340928136806612,layer_biggest_change_logprob_correct,MAD,filteredCorrect,Llama-2-13b-hf,0.52888366334106,Llama-2-13b-hf,2.490043322199199,-3.067429579401505,Confidence,False,MaxDeltaLayer,animals,,False
critical_fit,35,26801.7352849809,26996.2468365374,-13365.8676424904,26731.7352849809,4.81603625653224,1.0,0.0281961135266252,layer_biggest_change_rank_correct,MAD,filteredCorrect,Llama-2-13b-hf,0.4465586263123554,Llama-2-13b-hf,2.816036256499501,-2.741436645101203,Confidence,False,MaxDeltaLayer,animals,,False
critical_fit,35,26801.0857354169,26995.5972869734,-13365.5428677085,26731.0857354169,5.46558582049329,1.0,0.0193945513685377,auc_logprob_correct,MAD,filteredCorrect,Llama-2-13b-hf,0.3314310106053361,Llama-2-13b-hf,3.4655858205005643,-2.0918870811001398,Confidence,False,AUC,animals,,False
critical_fit,35,26800.4121795484,26994.9237311049,-13365.2060897742,26730.4121795484,6.13914168900737,1.0,0.013222147790116,auc_rank_correct,MAD,filteredCorrect,Llama-2-13b-hf,0.24533469686400128,Llama-2-13b-hf,4.139141689000098,-1.4183312126006058,Confidence,False,AUC,animals,,False
critical_fit,35,26799.3656752097,26993.8772267662,-13364.6828376048,26729.3656752097,7.1856460277304,1.0,0.0073489087865701,layer_argmax_boost,MAD,filteredCorrect,Llama-2-13b-hf,0.14488010829874506,Llama-2-13b-hf,5.185646027697658,-0.3718268738994084,Boosting,False,MaxDeltaLayer,animals,,False
critical_fit,35,26798.8876547929,26993.3992063494,-13364.4438273965,26728.8876547929,7.66366644448499,1.0,0.0056343889369211,auc_boost_pos,MAD,filteredCorrect,Llama-2-13b-hf,0.11435498996834177,Llama-2-13b-hf,5.66366644449954,0.10619354289883631,Boosting,False,AUC,animals,,False
critical_fit,35,26798.2273144157,26992.7388659722,-13364.1136572079,26728.2273144157,8.32400682169464,1.0,0.0039124523489703,auc_logprobdiff_pos,MAD,filteredCorrect,Llama-2-13b-hf,0.08319863335259396,Llama-2-13b-hf,6.324006821698276,0.7665339201012102,Relative confidence,False,AUC,animals,,False
baseline_fit,34,26804.5513212374,26993.5053998923,-13368.2756606187,26736.5513212374,,,,baseline,MAD,filteredCorrect,Llama-2-13b-hf,,Llama-2-13b-hf,0.0,0.0,Baseline,False,baseline,animals,,
critical_fit,35,26799.1654883629,26993.6770399194,-13364.5827441814,26729.1654883629,0.0638238129213278,1.0,0.800551245118331,layer_biggest_change_rank_correct,MAD,filteredCorrect,Llama-2-70b-hf,1.0,Llama-2-70b-hf,-1.9361761871005,-7.493649088697566,Confidence,False,MaxDeltaLayer,animals,,False
critical_fit,35,26799.1241699713,26993.6357215278,-13364.5620849856,26729.1241699713,0.105142204538424,1.0,0.745743935433785,auc_boost_neg,MAD,filteredCorrect,Llama-2-70b-hf,1.0,Llama-2-70b-hf,-1.8948577954979555,-7.45233069709866,Boosting,False,AUC,animals,,False
critical_fit,35,26799.0497728512,26993.5613244077,-13364.5248864256,26729.0497728512,0.179539324599318,1.0,0.671769436919269,layer_biggest_change_logprob_correct,MAD,filteredCorrect,Llama-2-70b-hf,1.0,Llama-2-70b-hf,-1.8204606753970438,-7.377933576997748,Confidence,False,MaxDeltaLayer,animals,,False
critical_fit,35,26798.6254032322,26993.1369547887,-13364.3127016161,26728.6254032322,0.603908943568968,1.0,0.437090461728625,auc_boost_pos,MAD,filteredCorrect,Llama-2-70b-hf,1.0,Llama-2-70b-hf,-1.3960910563982907,-6.953563957998995,Boosting,False,AUC,animals,,False
critical_fit,35,26798.5990787777,26993.1106303342,-13364.2995393889,26728.5990787777,0.630233398067503,1.0,0.427269714890682,auc_rank_correct,MAD,filteredCorrect,Llama-2-70b-hf,1.0,Llama-2-70b-hf,-1.3697666018997552,-6.927239503496821,Confidence,False,AUC,animals,,False
critical_fit,35,26798.3730269656,26992.8845785221,-13364.1865134828,26728.3730269656,0.85628521021863,1.0,0.354780341389458,layer_biggest_change_logprobdiff,MAD,filteredCorrect,Llama-2-70b-hf,1.0,Llama-2-70b-hf,-1.14371478979956,-6.701187691396626,Relative confidence,False,MaxDeltaLayer,animals,,False
critical_fit,35,26798.3730269656,26992.8845785221,-13364.1865134828,26728.3730269656,0.856285210225906,1.0,0.354780341387413,layer_argmax_boost,MAD,filteredCorrect,Llama-2-70b-hf,1.0,Llama-2-70b-hf,-1.14371478979956,-6.701187691396626,Boosting,False,MaxDeltaLayer,animals,,False
critical_fit,35,26798.2398936534,26992.75144521,-13364.1199468267,26728.2398936534,0.989418522345659,1.0,0.319884534242737,auc_logprob_correct,MAD,filteredCorrect,Llama-2-70b-hf,1.0,Llama-2-70b-hf,-1.0105814775997715,-6.568054379298701,Confidence,False,AUC,animals,,False
critical_fit,35,26798.0248677315,26992.536419288,-13364.0124338658,26728.0248677315,1.20444444428358,1.0,0.272435183188497,auc_logprobdiff_pos,MAD,filteredCorrect,Llama-2-70b-hf,1.0,Llama-2-70b-hf,-0.795555555698229,-6.353028457298933,Relative confidence,False,AUC,animals,,False
critical_fit,35,26797.7312686762,26992.2428202327,-13363.8656343381,26727.7312686762,1.49804349959231,1.0,0.220972647029312,layer_biggest_change_entropy,MAD,filteredCorrect,Llama-2-70b-hf,1.0,Llama-2-70b-hf,-0.5019565004004107,-6.059429401997477,Uncertainty,False,MaxDeltaLayer,animals,,False
critical_fit,35,26797.5058455256,26992.0173970821,-13363.7529227628,26727.5058455256,1.72346665016084,1.0,0.189247421886187,auc_entropy,MAD,filteredCorrect,Llama-2-70b-hf,1.0,Llama-2-70b-hf,-0.2765333497991378,-5.834006251399842,Uncertainty,False,AUC,animals,,False
critical_fit,35,26796.9081369592,26991.4196885158,-13363.4540684796,26726.9081369592,2.32117521654436,1.0,0.127623572229105,auc_logprobdiff_neg,MAD,filteredCorrect,Llama-2-70b-hf,1.0,Llama-2-70b-hf,0.321175216602569,-5.2362976850999985,Relative confidence,False,AUC,animals,,False
baseline_fit,34,26797.2293121758,26986.1833908307,-13364.6146560879,26729.2293121758,,,,baseline,MAD,filteredCorrect,Llama-2-70b-hf,,Llama-2-70b-hf,0.0,0.0,Baseline,False,baseline,animals,,
critical_fit,35,26818.4455727282,27012.9571242847,-13374.2227863641,26748.4455727282,0.131087957728596,1.0,0.717306663478141,auc_entropy,MAD,filteredCorrect,Llama-2-7b-hf,1.0,Llama-2-7b-hf,-1.868912042300508,-7.426384943901212,Uncertainty,False,AUC,animals,,False
critical_fit,35,26818.4123122952,27012.9238638517,-13374.2061561476,26748.4123122952,0.164348390728264,1.0,0.685184208272778,layer_argmax_boost,MAD,filteredCorrect,Llama-2-7b-hf,1.0,Llama-2-7b-hf,-1.8356516093008395,-7.3931245109015435,Boosting,False,MaxDeltaLayer,animals,,False
critical_fit,35,26816.1633769508,27010.6749285073,-13373.0816884754,26746.1633769508,2.41328373512079,1.0,0.120309761909799,layer_biggest_change_logprobdiff,MAD,filteredCorrect,Llama-2-7b-hf,1.0,Llama-2-7b-hf,0.41328373509895755,-5.1441891664981085,Relative confidence,False,MaxDeltaLayer,animals,,False
critical_fit,35,26816.0956740003,27010.6072255568,-13373.0478370001,26746.0956740003,2.48098668561579,1.0,0.115229944619528,auc_boost_neg,MAD,filteredCorrect,Llama-2-7b-hf,1.0,Llama-2-7b-hf,0.4809866856012377,-5.076486215999466,Boosting,False,AUC,animals,,False
critical_fit,35,26815.835700898,27010.3472524545,-13372.917850449,26745.835700898,2.74095978791956,1.0,0.0978060064611,auc_rank_correct,MAD,filteredCorrect,Llama-2-7b-hf,1.0,Llama-2-7b-hf,0.7409597879013745,-4.8165131136993296,Confidence,False,AUC,animals,,False
critical_fit,35,26815.173436022,27009.6849875785,-13372.586718011,26745.173436022,3.40322466386715,1.0,0.065069097661329,layer_biggest_change_rank_correct,MAD,filteredCorrect,Llama-2-7b-hf,0.8988999474704666,Llama-2-7b-hf,1.4032246638998913,-4.154248237700813,Confidence,False,MaxDeltaLayer,animals,,False
critical_fit,35,26814.0786145417,27008.5901660983,-13372.0393072709,26744.0786145417,4.49804614414825,1.0,0.033933605429619,auc_logprob_correct,MAD,filteredCorrect,Llama-2-7b-hf,0.5278864886239419,Llama-2-7b-hf,2.4980461441991793,-3.0594267574997502,Confidence,False,AUC,animals,,False
critical_fit,35,26813.2050468945,27007.716598451,-13371.6025234472,26743.2050468945,5.37161379144163,1.0,0.0204670331157293,auc_logprobdiff_pos,MAD,filteredCorrect,Llama-2-7b-hf,0.34662868406483244,Llama-2-7b-hf,3.3716137913979765,-2.1858591101990896,Relative confidence,False,AUC,animals,,False
critical_fit,35,26812.4773754239,27006.9889269804,-13371.2386877119,26742.4773754239,6.09928526203657,1.0,0.0135236568831133,auc_logprobdiff_neg,MAD,filteredCorrect,Llama-2-7b-hf,0.2497051020365132,Llama-2-7b-hf,4.099285262000194,-1.45818763960051,Relative confidence,False,AUC,animals,,False
critical_fit,35,26811.790293543,27006.3018450995,-13370.8951467715,26741.790293543,6.78636714292588,1.0,0.0091856652330195,layer_biggest_change_entropy,MAD,filteredCorrect,Llama-2-7b-hf,0.17645244568702753,Llama-2-7b-hf,4.786367142900417,-0.771105758700287,Uncertainty,False,MaxDeltaLayer,animals,,False
critical_fit,35,26809.86182593,27004.3733774865,-13369.930912965,26739.86182593,8.71483475589048,1.0,0.0031563102627309,auc_boost_pos,MAD,filteredCorrect,Llama-2-7b-hf,0.069259240005507,Llama-2-7b-hf,6.714834755901393,1.1573618543006887,Boosting,False,AUC,animals,,False
critical_fit,35,26805.2575702244,26999.769121781,-13367.6287851122,26735.2575702244,13.319090461453,1.0,0.0002627175816846,layer_biggest_change_logprob_correct,MAD,filteredCorrect,Llama-2-7b-hf,0.008151104119885046,Llama-2-7b-hf,11.31909046150031,5.76161755980138,Confidence,False,MaxDeltaLayer,animals,,True
baseline_fit,34,26816.5766606859,27005.5307393408,-13374.2883303429,26748.5766606859,,,,baseline,MAD,filteredCorrect,Llama-2-7b-hf,,Llama-2-7b-hf,0.0,0.0,Baseline,False,baseline,animals,,
critical_fit,35,1447.15287525293,1641.66442680945,-688.576437626466,1377.15287525293,0.060388254278223,1.0,0.805883337880805,auc_boost_neg,RT,filteredCorrect,Llama-2-13b-hf,1.0,Llama-2-13b-hf,-1.939611745719958,-7.497084647340216,Boosting,False,AUC,animals,,False
critical_fit,35,1436.79732876105,1631.30888031757,-683.398664380525,1366.79732876105,10.4159347461605,1.0,0.0012493260349025,layer_biggest_change_entropy,RT,filteredCorrect,Llama-2-13b-hf,0.03131742000262203,Llama-2-13b-hf,8.41593474616002,2.8584618445399883,Uncertainty,False,MaxDeltaLayer,animals,,True
critical_fit,35,1434.14998544865,1628.66153700517,-682.074992724325,1364.14998544865,13.0632780585604,1.0,0.0003011419277297,layer_biggest_change_logprobdiff,RT,filteredCorrect,Llama-2-13b-hf,0.009155646334868801,Llama-2-13b-hf,11.063278058559945,5.505805156939914,Relative confidence,False,MaxDeltaLayer,animals,,True
critical_fit,35,1431.80265775208,1626.3142093086,-680.901328876042,1361.80265775208,15.4106057551271,1.0,8.65014406053105e-05,auc_logprobdiff_neg,RT,filteredCorrect,Llama-2-13b-hf,0.0030889054054067397,Llama-2-13b-hf,13.410605755130064,7.8531328535098055,Relative confidence,False,AUC,animals,,True
critical_fit,35,1428.51352044517,1623.02507200168,-679.256760222583,1358.51352044517,18.6997430620443,1.0,1.53003102698961e-05,layer_biggest_change_logprob_correct,RT,filteredCorrect,Llama-2-13b-hf,0.0006434945336342845,Llama-2-13b-hf,16.69974306204017,11.142270160429916,Confidence,False,MaxDeltaLayer,animals,,True
critical_fit,35,1424.14732219056,1618.65887374707,-677.073661095279,1354.14732219056,23.0659413166525,1.0,1.56539191127678e-06,layer_biggest_change_rank_correct,RT,filteredCorrect,Llama-2-13b-hf,7.953420535113084e-05,Llama-2-13b-hf,21.06594131664997,15.508468415039943,Confidence,False,MaxDeltaLayer,animals,,True
critical_fit,35,1421.48390734255,1615.99545889907,-675.741953671275,1351.48390734255,25.72935616466,1.0,3.92806290783406e-07,auc_logprob_correct,RT,filteredCorrect,Llama-2-13b-hf,2.2027326804704295e-05,Llama-2-13b-hf,23.729356164659976,18.171883263039945,Confidence,False,AUC,animals,,True
critical_fit,35,1415.35756271887,1609.86911427538,-672.678781359433,1345.35756271887,31.8557007883442,1.0,1.66061568212973e-08,auc_rank_correct,RT,filteredCorrect,Llama-2-13b-hf,1.1749042816854095e-06,Llama-2-13b-hf,29.855700788340073,24.29822788672982,Confidence,False,AUC,animals,,True
critical_fit,35,1409.03718596601,1603.54873752252,-669.518592983003,1339.03718596601,38.1760775412035,1.0,6.46400607662662e-10,auc_entropy,RT,filteredCorrect,Llama-2-13b-hf,5.498305651694265e-08,Llama-2-13b-hf,36.17607754120013,30.618604639589876,Uncertainty,False,AUC,animals,,True
critical_fit,35,1395.88470206956,1590.39625362608,-662.942351034782,1325.88470206956,51.3285614376457,1.0,7.81305973206251e-13,layer_argmax_boost,RT,filteredCorrect,Llama-2-13b-hf,9.099654795063917e-11,Llama-2-13b-hf,49.32856143765002,43.77108853602999,Boosting,False,MaxDeltaLayer,animals,,True
critical_fit,35,1393.06496090082,1587.57651245733,-661.532480450408,1323.06496090082,54.1483026063952,1.0,1.85914408602757e-13,auc_logprobdiff_pos,RT,filteredCorrect,Llama-2-13b-hf,2.3330386651211122e-11,Llama-2-13b-hf,52.14830260638996,46.590829704779935,Relative confidence,False,AUC,animals,,True
critical_fit,35,1390.32638282128,1584.8379343778,-660.16319141064,1320.32638282128,56.8868806859311,1.0,4.61615127722608e-14,auc_boost_pos,RT,filteredCorrect,Llama-2-13b-hf,6.471476854445243e-12,Llama-2-13b-hf,54.88688068593001,49.32940778430998,Boosting,False,AUC,animals,,True
baseline_fit,34,1445.21326350721,1634.16734216211,-688.606631753605,1377.21326350721,,,,baseline,RT,filteredCorrect,Llama-2-13b-hf,,Llama-2-13b-hf,0.0,0.0,Baseline,False,baseline,animals,,
